tweet_id,retweet_count,favorite_count
892420643555336193,8409,38315
892177421306343426,6199,32840
891815181378084864,4100,24741
891689557279858688,8536,41660
891327558926688256,9260,39824
891087950875897856,3076,19998
890971913173991426,2042,11704
890729181411237888,18648,64676
890609185150312448,4215,27491
890240255349198849,7300,31544
890006608113172480,7244,30298
889880896479866881,4918,27460
889665388333682689,9942,47551
889638837579907072,4489,26856
889531135344209921,2213,14911
889278841981685760,5354,24999
888917238123831296,4445,28751
888804989199671297,4270,25284
888554962724278272,3530,19642
888078434458587136,3453,21500
887705289381826560,5321,29808
887517139158093824,11526,45725
887473957103951883,17972,68275
887343217045368832,10285,33290
887101392804085760,5891,30195
886983233522544640,7686,34740
886736880519319552,3250,11910
886680336477933568,4410,22161
886366144734445568,3163,20941
886258384151887873,6210,27666
885984800019947520,6726,32311
885528943205470208,6357,35577
885167619883638784,4333,21675
884925521741709313,18225,76581
884876753390489601,5720,27603
884562892145688576,4813,24033
884441805382717440,5592,26689
884162670584377345,2952,20130
883838122936631299,3408,21659
883482846933004288,9851,45418
883360690899218434,3636,22323
883117836046086144,6605,36774
882992080364220416,3874,23682
882762694511734784,4863,27984
882627270321602560,6020,27591
882268110199369728,11473,44450
882045870035918850,4918,29015
881906580714921986,3363,24038
881666595344535552,10550,49996
881536004380872706,15793,48888
881268444196462592,5113,22829
880935762899988482,2755,16826
880872448815771648,3779,21041
880465832366813184,6217,28224
880221127280381952,4169,26766
880095782870896641,4319,27338
879862464715927552,3463,22088
879492040517615616,3157,23159
879415818425184262,43792,104721
879376492567855104,3093,16594
879050749262655488,4681,22331
879008229531029506,2670,18780
878776093423087618,4093,19211
878281511006478336,1280,7670
878057613040115712,6768,41589
877736472329191424,18936,78981
877556246731214848,3778,22486
877316821321428993,5134,27076
877201837425926144,5539,26836
876838120628539392,3323,20458
876484053909872640,2379,18559
876120275196170240,4656,27629
875747767867523072,4263,24938
875144289856114688,4897,21710
875021211251597312,4687,25223
874680097055178752,4619,27576
874296783580663808,4090,25823
874057562936811520,3939,22449
874012996292530176,10388,34317
873580283840344065,3938,24023
